Number,Name,Year,Title,Journal,Volume,Issue,Pages,Notes
66,"Cruz, P.; Bascunan, A.; Velozo, J.; Rodriguez, M",2015,"Funciones alométricas de contenido de carbono para quillay, peumo, espino y litre",Bosque,36,3,375-381,
67,"Preston, C. & Trofymow, J.; Nault, J",2012,Decomposition & change in N & organic composition of small-diameter Douglas-fir woody debris over 23 years,Canadian Journal of Forest Research,42,NA,1153-1167,
68,"Bardulis, A.; Jansons, A.; Bardule, A.; Zeps, M.; Lazdins, A",2017,Assessment of carbon content in root biomass in Scots Pine & Silver Birch young st&s in Latvia,Baltic Forestry,23,2,482-489,
69,"Wang, G., Ran, F., Chang, R., Yang, Y., Luo, J., & Jianrong, F.",2014,"Variations in the live biomass & carbon pools of Abies georgei along an elevation gradient on the Tibetan Plateau, China",Forest Ecology and Management,329,NA,255-263,
70,"Yeboah, D.; Burton, A.; Storer, A.; Opuni-Frimpong, E",2014,Variation in wood density & carbon content of tropical plantation tree species from Ghana,New Forests,45,1,35-52,
71,"Wu, H.; Xiang, W.; Fang, X.; Lei, P.; Shuai, O. & Deng, X.",2017,Tree functional types simplify forest carbon stock estimates induced by carbon concentration variations among species in a subtropical area,Scientific Reports,7,4992,NA,
72,"Pompa-Garcia, M.; Yerena-Yamalliel, J",2014,Concentration of carbon in Pinus cembroides Zucc; Mitigation potential source of global warming,Chapingo Magazine Forestry and Environmental Sciences Series,20,3,169-179,
73,"Fonseca, W.; Alice, F.; Rey-Benayas, J",2011,Carbon accumulation in aboveground & belowground biomass & soil of different age native forest plantations in the humid tropical lowl&s of Costa Rica,New Forests,43,NA,197-211,
74,"Pompa-Garcia, M.; Jurado, E.; Sigala-Rodriguez, J.; Flores, J.",2017,Tissue carbon concentration of 175 Mexican forest species,iForest - Biogeosciences and Forestry,10,NA,754-758,
75,"Medlyn, B. E.; Badeck, F.-W.; De Pury, D. G. G.; Barton, C. V. M.; Broadmeadow, M.; Ceulemans,R.; De Angelis,  P.; Forstreuter, M.; Jach, M. E.; Kellomäki, S.; Laitat, E.; Marek, M.; Philippot,S.; Rey, A.; Strassemeyer, J.; Laitinen, K.; Liozon, R.; Portier, B.; Roberntz, P.;  Wang, S.; Jarvis, P.G.",1999,Effects of elevated CO2 on photosynthesis in European forest species: a meta-analysis of model parameters,"Plant, Cell and Environment",22,12,1475-1495,retrieved as ECOCRAFT Database via TRY (dataset ID number 12)
76,"Iversen, C.M.; McCormack, M.L.; Powell, A.S.; Blackwood, C.B.; Freschet, G.T.; Kattge, J.; Roumet, C.; Stover, D.B.; Soudzilovskaia, N.A.; Valverde-Barrantes, O.J.; van Bodegom, P.M.; Violle, C.",2017,A global Fine-Root Ecology Database to address belowground challenges in plant ecology,New Phytologist,251,1,15-26,retrieved as FRED Database via TRY (dataset ID number 339)
77,"Craven, D.; Dent, D.; Braden, D.; Ashton, M. S.; Berlyn, G.P.; Hall, J.S.",2011,Seasonal variability of photosynthetic characteristics influences growth of eight tropical tree species at two sites with contrasting precipitation in Panama,Forest Ecology and Management,261,10,1643-1653,retireved as Panama Tree Traits Database via TRY (dataset ID number 230)
78,"Atkin, O. K.;Schortemeyer, M.; McFarlane, N.; Evans, J.R.",1999,The response of fast- & slow-growing Acacia species to elevated atmospheric CO2: an analysis of the underlying components of relative growth rate,Oecologia,120,4,544-554,retrieved as Plant Physiology Database via TRY (dataset ID number 97)
79,"Laughlin, D. C.; Leppert, J.J.; Moore, M.M.; Sieg, C.H..",2010,A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora,Functional Ecology,24,3,493-501,retrieved as Plant Traits for Pinus & Juniperus Forests in Arizona via TRY (dataset ID number 193)
80,"Freschet, G. T.; Cornelissen, J. H. C.; van Logtestijn, R. S. P.; Aerts, R.",2010,Evidence of the ‘plant economics spectrum’ in a subarctic flora,Journal of Ecology,98,2,362-373,retrieved as Traits from Subarctic Plant Species Database via TRY (dataset ID number 105)
81,"Sandström, F.; Petersson, H.; Kruys, N.; Ståhl, G.",2007,"Biomass conversion factors (density & carbon concentration) by decay classes for dead wood of Pinus sylvestris, Picea abies & Betula spp. in boreal forests of Sweden",Forest Ecology and Management,243,1,19-27,
82,"Lambert, R.L.; Lan, G.E.",1980,Loss of mass & chemical change in decaying boles of a subalpine balsam fir forest,Ecology,61,6,1460-1473,
83,"Krankina, O.N.; Harmon, M.E.; Griazkin, A.V.",1999,Nutrient stores & dynamics of woody detritus in a boreal forest: modeling potential implications at the st& level,Canadian Journal of Forest Research,29,1,20-32,
84,"Makinen, H.; Hynynen, J.; Siitonen, J.",2006,"Predicting the Decomposition of Scots Pine, Norway Spruce, & Birch Stems in Finl&",Ecological Applications,16,5,1865-1879,
85,"Laiho, R.; Prescott, C.E.",1999,"The contribution of coarse woody debris to carbon, nitrogen, & phosphorus cycles in three Rocky Mountain coniferous forests",Canadian Journal of Forest Research,29,10,1592–1603,
86,"Lombardi, F.; Cherubini, P.; Tognetti, R.; Cocozza, C.; Lasserre, B.; Marchetti, M.",2013,Investigating biochemical processes to assess deadwood decay of beech & silver fir in Mediterranean mountain forests,Annals of Forest Science,70,1,101-111,
87,"Frangi, J.L.; Richter, L.L.; Barrera, M.D.; Aloggia, M.",1997,"Decomposition of Nothofagus fallen woody debris in forests of Tierra del Fuego, Argentina",Canadian Journal of Forest Research,27,7,1095–1102,
88,"Currie, W.S.; Nadelhoffer, K.J.",2002,The Imprint of L&-use History: Patterns of Carbon & Nitrogen in Downed Woody Debris at the Harvard Forest,Ecosystems,4,5,446-460,
